,Know anyone:Nobody,Know anyone:Myself,Know anyone:Family inside HH,Know anyone:Family outside HH,Know anyone:Close friend,Know anyone:Colleague,COVID-19 Knowledge:Washing hands,COVID-19 Knowledge:Staying indoors for Self,COVID-19 Knowledge:Staying indoors for Others,COVID-19 Knowledge:Spread before symptoms,COVID-19 Knowledge:R-Number,COVID-19 Knowledge:Treatments already exist,COVID-19 Knowledge:Wearing masks,COVID-19 VCI:COVID-19 Vax Importance,COVID-19 VCI:COVID-19 Vax Safety,COVID-19 VCI:COVID-19 Vax Efficacy,COVID-19 VCI:COVID-19 Vax Compatibility,COVID-19 VCI:Contract via COVID-19 Vax,COVID-19 VCI:COVID-19 Vax benefits outweigh risks,General VCI:Vax Importance,General VCI:Vax Safety,General VCI:Vax Efficacy,General VCI:Vax Compatibility,COVID-19 Impact:Mental health,COVID-19 Impact:Financial stability,COVID-19 Impact:Daily disruption,COVID-19 Impact:Social disruption,Trust:Television,Trust:Radio,Trust:Newspapers,Trust:Govt. Briefings,Trust:National Health Authorities,Trust:International Health Authorities,Trust:Healthcare Workers,Trust:Scientists,Trust:Govt. Websites,Trust:Social Media,Trust:Celebrities,Trust:Search Engines,Trust:Family and friends,Trust:Work Guidelines,Trust:Other,Trust:None of these,Reason:Unsure if safe,Reason:Unsure if effective,Reason:Not at risk,Reason:Wait until others,Reason:Won't be ill,Reason:Other effective treatments,Reason:Already acquired immunity,Reason:Approval may be rushed,Reason:Other,Reason:Do not know,Image 1:Vaccine Intent,Image 1:Agreement,Image 1:Trust,Image 1:Fact-check,Image 1:Share,Image 2:Vaccine Intent,Image 2:Agreement,Image 2:Trust,Image 2:Fact-check,Image 2:Share,Image 3:Vaccine Intent,Image 3:Agreement,Image 3:Trust,Image 3:Fact-check,Image 3:Share,Image 4:Vaccine Intent,Image 4:Agreement,Image 4:Trust,Image 4:Fact-check,Image 4:Share,Image 5:Vaccine Intent,Image 5:Agreement,Image 5:Trust,Image 5:Fact-check,Image 5:Share,Social:Facebook used,Social:Twitter used,Social:YouTube used,Social:WhatsApp used,Social:Instagram used,Social:Pinterest used,Social:LinkedIN used,Social:Other used,Social:None of these used,Social:Facebook to receive info,Social:Twitter to receive info,Social:YouTube to receive info,Social:WhatsApp to receive info,Social:Instagram to receive info,Social:Pinterest to receive info,Social:LinkedIN to receive info,Social:Other to receive info,Social:None of these to receive info,Social:Facebook to share info,Social:Twitter to share info,Social:YouTube to share info,Social:WhatsApp to share info,Social:Instagram to share info,Social:Pinterest to share info,Social:LinkedIN to share info,Social:Other to share info,Social:None of these to share info,Shielding,Social media usage,Expected vax availability,Seen such online content,Frequency of such online content,Engaged with such online content,Vaccine Intent for self (Pre),Vaccine Intent for self (Post),Vaccine Intent for others (Pre),Vaccine Intent for others (Post),Group,Age,Gender,Education,Employment,Religion,Political,Ethnicity,Income,Region,Treatment
7533,1,0,0,0,0,0,1,1,1,1,1,-2,1,2,1,1,-2,-1,2,2,1,1,2,-1,-1,-1,2,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,1,-2,0,0,0,1,-2,0,0,-1,0,-2,0,0,0,1,-2,0,0,-1,1,-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1,4,2,,,1,1,1,1,ANTI UK,6,1,4,4,1,1,1,4,49,1
7534,1,0,0,0,0,0,2,2,2,2,1,-2,2,2,1,1,-2,0,0,2,2,2,2,-1,-2,-2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,-2,-2,0,0,1,-2,-2,0,0,1,-2,-2,0,0,1,-2,-2,0,0,1,-2,-2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,4,6,2,,,2,2,2,2,PRO UK,3,2,3,1,4,2,1,1,59,0
7535,0,0,0,0,1,0,2,1,-2,2,0,-2,1,0,-1,0,-2,-1,-2,1,-1,-1,1,2,-2,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-2,-1,0,1,0,-2,0,0,0,-2,-2,0,1,1,0,-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1,7,2,,,2,2,2,2,PRO UK,6,1,2,4,4,2,1,4,252,0
7536,1,0,0,0,0,0,1,2,2,2,1,-2,1,2,1,2,-2,-1,1,1,1,1,1,1,-1,1,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,-1,-1,0,-2,2,-2,-2,1,1,0,0,-2,-1,-2,1,1,0,0,0,2,0,-1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,5,4,1,3.0,2.0,2,2,1,2,ANTI UK,3,1,2,1,4,5,1,5,52,1
7537,1,0,0,0,0,0,1,1,1,1,1,-2,1,2,2,2,-2,0,1,2,2,2,2,0,-1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,1,0,1,0,-1,1,-1,0,0,-1,1,-1,0,0,0,1,-1,0,-1,-1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2,8,2,,,1,2,1,1,ANTI UK,6,1,6,4,1,4,1,4,299,1
7538,1,0,0,0,0,0,1,1,1,1,1,-1,1,1,1,1,-2,1,1,1,1,1,1,-1,-1,-1,-1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,0,1,1,2,0,0,1,0,2,0,0,0,0,2,-1,0,0,0,2,0,0,0,0,2,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1,4,2,,,1,2,1,1,ANTI UK,6,1,4,4,4,1,1,4,236,1
7539,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,,,,,,,,,,,-1,1,2,1,2,-1,1,2,2,2,-1,1,2,2,1,0,1,1,1,2,-1,1,1,2,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,6,5,1,3.0,1.0,1,1,1,1,PRO UK,2,1,5,1,1,2,2,5,231,0
7540,1,0,0,0,0,0,2,2,1,2,1,-2,1,2,1,2,0,-2,2,2,2,2,2,-1,-1,-2,-1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1,4,2,,,1,1,1,1,ANTI UK,6,1,4,4,4,2,1,1,49,1
7541,1,0,0,0,0,0,2,1,1,2,2,-2,1,2,2,1,-2,-1,1,2,2,2,2,-1,-1,-1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,-2,0,1,1,0,-2,0,0,1,0,-2,0,0,0,0,-2,0,0,0,0,-2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,4,5,2,,,1,1,1,1,PRO UK,6,1,2,4,1,5,1,2,183,0
7542,0,0,0,0,1,0,1,1,1,1,-1,1,1,1,1,1,-1,2,1,1,-1,1,1,0,-1,-1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,,,,,,,,,,,0,0,0,0,-1,0,-1,0,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,1,-1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,6,3,2,,,1,3,1,1,ANTI UK,2,1,2,1,4,5,1,3,47,1
7543,1,0,0,0,0,0,2,2,2,2,2,1,1,2,1,1,-2,0,1,2,1,2,1,-1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,-1,1,1,1,0,-1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,-1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,7,1,4.0,2.0,1,1,1,1,PRO UK,4,1,3,1,4,2,1,4,198,0
7544,1,0,0,0,0,0,1,1,2,1,1,0,1,1,1,1,-1,0,0,1,1,1,2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,2,1,8,2,,,1,1,1,1,PRO UK,3,1,2,1,1,1,1,2,7,0
7545,0,0,0,0,1,1,2,2,2,2,1,-2,2,2,2,2,-2,-2,2,2,2,2,2,-1,-1,1,2,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,,,,,,,,,,,0,-1,-1,1,-2,-2,2,2,1,1,0,0,0,0,0,0,-2,-2,0,-2,0,-2,-2,-2,-2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,5,3,1,2.0,2.0,1,1,1,1,ANTI UK,4,1,4,1,1,1,1,5,26,1
7546,1,0,0,0,0,0,2,1,1,0,1,-1,1,2,-1,1,-2,1,1,1,-1,-1,-2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,2,0,0,2,1,2,0,-2,2,0,2,-2,-2,0,0,2,-2,0,2,2,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,7,2,,,1,2,1,2,ANTI UK,6,2,2,4,4,2,1,1,152,1
7547,1,0,0,0,0,0,2,2,2,2,1,-2,1,2,2,2,-2,-2,2,2,2,2,2,-2,-1,2,2,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,0,-2,-2,2,-2,0,-2,-2,0,-2,0,-2,-2,0,-2,0,-2,-2,0,-2,0,-2,-2,0,-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,1,1,4,2,,,1,1,1,1,ANTI UK,6,2,4,4,4,1,1,5,43,1
7548,1,0,0,0,0,0,1,1,1,0,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-2,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,2,1,8,2,,,4,4,4,4,ANTI UK,3,1,2,1,4,1,1,1,231,1
7549,0,0,0,0,1,0,2,2,2,2,2,0,1,1,0,1,-2,-1,0,2,2,2,2,-2,-2,1,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,-1,-2,0,0,1,-1,-2,0,0,1,-1,-2,0,0,0,-2,-2,0,0,0,-1,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2,3,3,,,2,2,2,2,PRO UK,4,1,4,1,4,1,1,5,353,0
7550,1,0,0,0,0,0,1,1,1,1,1,1,1,2,1,1,-2,1,0,1,1,1,0,1,-2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,-2,0,0,0,0,-2,0,0,0,0,-2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,2,2,8,2,,,2,2,2,2,PRO UK,4,1,4,1,5,5,1,2,63,0
7551,1,0,0,0,0,0,1,1,1,1,1,-1,1,1,1,1,-1,-1,1,1,1,1,1,-1,-2,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,3,1,3.0,2.0,1,1,1,1,ANTI UK,6,1,1,4,1,2,1,3,25,1
7552,0,0,0,1,1,0,1,-2,-2,-1,-1,2,-2,-2,-2,-2,-1,-1,-2,2,1,1,1,2,-2,2,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,-1,2,-2,0,-2,-2,2,-2,0,0,-1,2,-2,0,-1,-1,2,-2,0,1,1,2,-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1,8,2,,,4,4,4,4,PRO UK,4,1,5,1,4,1,3,5,334,0
7553,0,0,0,1,0,1,2,2,2,2,1,-1,1,2,1,1,-2,-1,1,2,2,1,2,1,-1,1,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1,1,1,1,-1,0,1,1,1,-2,-1,1,1,1,-1,0,1,0,0,-1,-1,1,1,1,-1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,3,5,2,,,2,1,1,1,PRO UK,3,2,4,1,1,2,1,4,153,0
