,mean,2.5%,97.5%
"Unsure, lean yes",-0.08836196264962694,-0.15646932191591964,-0.020028935587106007
"Unsure, lean no",-0.12086705074233237,-0.22184217212715557,-0.00991844242139316
"No, definitely not",-0.1564129915514111,-0.27719709903044026,-0.012915039838137922
