,Mean,2.5%,97.5%,ESS,Rhat
mu[1],-0.09,-1.23,1.07,7298,1.0
mu[2],0.66,-0.42,1.75,7080,1.0
mu[3],1.17,-0.02,2.35,6737,1.0
"alpha[1,1]",-0.17,-0.29,-0.04,7012,1.0
"alpha[2,1]",-0.08,-0.2,0.05,6733,1.0
"alpha[1,2]",1.02,0.88,1.16,8248,1.0
"alpha[2,2]",0.97,0.83,1.11,9091,1.0
"alpha[1,3]",1.78,1.61,1.97,7987,1.0
"alpha[2,3]",1.71,1.54,1.89,9872,1.0
