,mean,2.5%,97.5%
"Unsure, lean yes",-0.09325597676847404,-0.17069551691920665,-0.017134814378854703
"Unsure, lean no",-0.33329300671727785,-0.429336061614442,-0.23145845272856622
"No, definitely not",-0.25917314866699437,-0.36051598267604124,-0.1554235537258684
