,Mean,2.5%,97.5%,ESS,Rhat
beta[1],0.26,-0.62,1.16,590,1.01
beta[2],-0.25,-1.15,0.66,572,1.01
beta[3],-0.28,-1.17,0.63,603,1.01
beta[4],-0.42,-1.32,0.49,570,1.01
alpha[1],0.54,-0.34,1.44,578,1.01
