,Mean,2.5%,97.5%,ESS,Rhat
mu[1],0.01,-1.15,1.14,8788,1.0
mu[2],1.03,-0.06,2.13,7308,1.0
mu[3],1.65,0.49,2.78,6785,1.0
"alpha[1,1]",0.16,0.09,0.24,7774,1.0
"alpha[2,1]",-0.1,-0.17,-0.03,7004,1.0
"alpha[1,2]",1.79,1.69,1.9,7514,1.0
"alpha[2,2]",1.31,1.22,1.4,8906,1.0
"alpha[1,3]",2.68,2.54,2.82,7811,1.0
"alpha[2,3]",2.25,2.13,2.38,8300,1.0
