,Mean,2.5%,97.5%,ESS,Rhat
mu[1],0.12,-0.98,1.19,7645,1.0
mu[2],1.26,0.14,2.4,7461,1.0
mu[3],1.99,0.79,3.18,7156,1.0
"alpha[1,1]",0.16,0.04,0.29,5938,1.0
"alpha[2,1]",0.18,0.06,0.3,8014,1.0
"alpha[1,2]",1.89,1.71,2.08,9697,1.0
"alpha[2,2]",1.86,1.68,2.04,8556,1.0
"alpha[1,3]",3.02,2.74,3.32,9548,1.0
"alpha[2,3]",2.96,2.69,3.24,7940,1.0
