,Mean,2.5%,97.5%,ESS,Rhat
"beta_Ethnicity[1,4]",-0.53,-2.1,1.04,4101,1.0
"beta_Ethnicity[2,4]",-0.09,-1.51,1.29,4276,1.0
mu_beta_Ethnicity[1],-0.1,-1.49,1.24,4429,1.0
mu_beta_Ethnicity[2],0.09,-1.25,1.49,4476,1.0
mu_beta_Ethnicity[3],-0.04,-1.39,1.3,4509,1.0
mu_beta_Ethnicity[4],-0.21,-1.64,1.21,4757,1.0
"beta_Income[1,1]",0.03,-1.14,1.24,3487,1.0
"beta_Income[2,1]",0.02,-1.14,1.15,3375,1.0
"beta_Income[1,2]",-0.34,-1.52,0.88,3185,1.0
"beta_Income[2,2]",0.0,-1.15,1.14,3409,1.0
"beta_Income[1,3]",-0.04,-1.21,1.16,3264,1.0
"beta_Income[2,3]",-0.14,-1.3,0.99,3398,1.0
"beta_Income[1,4]",0.05,-1.11,1.25,3291,1.0
"beta_Income[2,4]",-0.14,-1.28,1.0,3268,1.0
"beta_Income[1,5]",-0.06,-1.27,1.18,3370,1.0
"beta_Income[2,5]",-0.04,-1.16,1.1,3296,1.0
"beta_Income[1,6]",-0.15,-1.37,1.16,3448,1.0
"beta_Income[2,6]",-0.08,-1.25,1.09,3420,1.0
mu_beta_Income[1],0.02,-1.24,1.3,3844,1.0
mu_beta_Income[2],-0.11,-1.41,1.17,4034,1.0
mu_beta_Income[3],-0.05,-1.36,1.24,4501,1.0
mu_beta_Income[4],-0.01,-1.3,1.34,3833,1.0
mu_beta_Income[5],-0.03,-1.31,1.25,3775,1.0
mu_beta_Income[6],-0.08,-1.43,1.24,4102,1.0
"beta_Trust_Television[1,1]",-0.18,-2.11,1.79,5357,1.0
"beta_Trust_Television[2,1]",-0.13,-1.99,1.77,5438,1.0
"beta_Trust_Television[1,2]",-0.28,-2.19,1.73,5358,1.0
"beta_Trust_Television[2,2]",-0.23,-2.09,1.67,5387,1.0
mu_beta_Trust_Television[1],-0.09,-1.69,1.52,5354,1.0
mu_beta_Trust_Television[2],-0.18,-1.74,1.43,5158,1.0
"beta_Trust_Radio[1,1]",-0.12,-2.02,1.8,5518,1.0
"beta_Trust_Radio[2,1]",-0.22,-2.12,1.68,5570,1.0
"beta_Trust_Radio[1,2]",-0.32,-2.2,1.6,5398,1.0
"beta_Trust_Radio[2,2]",-0.09,-1.99,1.78,5597,1.0
mu_beta_Trust_Radio[1],-0.11,-1.7,1.45,5449,1.0
mu_beta_Trust_Radio[2],-0.15,-1.78,1.49,4799,1.0
"beta_Trust_Newspapers[1,1]",-0.2,-2.11,1.78,4804,1.0
"beta_Trust_Newspapers[2,1]",-0.04,-2.03,1.89,5053,1.0
"beta_Trust_Newspapers[1,2]",-0.24,-2.16,1.66,4669,1.0
"beta_Trust_Newspapers[2,2]",-0.3,-2.31,1.64,4948,1.0
mu_beta_Trust_Newspapers[1],-0.09,-1.72,1.52,5060,1.0
mu_beta_Trust_Newspapers[2],-0.17,-1.79,1.46,4618,1.0
"beta_Trust_Govt_Briefings[1,1]",-0.34,-2.24,1.6,5734,1.0
"beta_Trust_Govt_Briefings[2,1]",-0.13,-2.02,1.78,5288,1.0
"beta_Trust_Govt_Briefings[1,2]",-0.12,-2.03,1.81,5615,1.0
"beta_Trust_Govt_Briefings[2,2]",-0.24,-2.14,1.68,5177,1.0
mu_beta_Trust_Govt_Briefings[1],-0.14,-1.71,1.44,5021,1.0
mu_beta_Trust_Govt_Briefings[2],-0.14,-1.69,1.47,5058,1.0
"beta_Trust_National_Health_Authorities[1,1]",-0.14,-2.09,1.74,5424,1.0
"beta_Trust_National_Health_Authorities[2,1]",-0.16,-2.07,1.72,4935,1.0
"beta_Trust_National_Health_Authorities[1,2]",-0.32,-2.27,1.54,5459,1.0
"beta_Trust_National_Health_Authorities[2,2]",-0.21,-2.09,1.67,4946,1.0
mu_beta_Trust_National_Health_Authorities[1],-0.11,-1.77,1.41,5368,1.0
mu_beta_Trust_National_Health_Authorities[2],-0.16,-1.76,1.42,5091,1.0
"beta_Trust_International_Health_Authorities[1,1]",-0.14,-2.04,1.74,5534,1.0
"beta_Trust_International_Health_Authorities[2,1]",-0.16,-2.12,1.77,5442,1.0
"beta_Trust_International_Health_Authorities[1,2]",-0.32,-2.25,1.58,5635,1.0
"beta_Trust_International_Health_Authorities[2,2]",-0.24,-2.23,1.71,5367,1.0
mu_beta_Trust_International_Health_Authorities[1],-0.1,-1.71,1.5,5169,1.0
mu_beta_Trust_International_Health_Authorities[2],-0.18,-1.79,1.41,4977,1.0
"beta_Trust_Healthcare_Workers[1,1]",-0.1,-2.06,1.86,4479,1.0
"beta_Trust_Healthcare_Workers[2,1]",-0.12,-2.18,1.83,5026,1.0
"beta_Trust_Healthcare_Workers[1,2]",-0.31,-2.28,1.66,4415,1.0
"beta_Trust_Healthcare_Workers[2,2]",-0.2,-2.24,1.75,5074,1.0
mu_beta_Trust_Healthcare_Workers[1],-0.07,-1.72,1.57,4756,1.0
mu_beta_Trust_Healthcare_Workers[2],-0.16,-1.79,1.46,4611,1.0
