,Mean,2.5%,97.5%,ESS,Rhat
"beta_Ethnicity[1,4]",-0.58,-2.13,0.95,1348,1.0
"beta_Ethnicity[2,4]",-0.43,-1.82,0.98,906,1.0
mu_beta_Ethnicity[1],-0.45,-1.87,0.9,1874,1.0
mu_beta_Ethnicity[2],-0.14,-1.53,1.21,1810,1.0
mu_beta_Ethnicity[3],-0.56,-1.92,0.84,1952,1.0
mu_beta_Ethnicity[4],-0.33,-1.7,1.11,1783,1.0
"beta_Income[1,1]",-0.11,-1.28,1.01,953,1.0
"beta_Income[2,1]",-0.17,-1.29,0.9,774,1.0
"beta_Income[1,2]",-0.25,-1.38,0.84,921,1.01
"beta_Income[2,2]",-0.25,-1.34,0.81,758,1.0
"beta_Income[1,3]",-0.34,-1.52,0.79,890,1.01
"beta_Income[2,3]",-0.31,-1.4,0.78,749,1.0
"beta_Income[1,4]",-0.79,-1.94,0.29,929,1.01
"beta_Income[2,4]",-0.47,-1.56,0.6,753,1.0
"beta_Income[1,5]",-0.7,-1.83,0.41,935,1.01
"beta_Income[2,5]",-0.46,-1.57,0.61,763,1.0
"beta_Income[1,6]",-0.45,-1.7,0.71,1070,1.0
"beta_Income[2,6]",-0.42,-1.58,0.67,786,1.0
mu_beta_Income[1],-0.09,-1.34,1.24,1911,1.0
mu_beta_Income[2],-0.17,-1.46,1.07,1945,1.0
mu_beta_Income[3],-0.22,-1.58,1.09,2221,1.0
mu_beta_Income[4],-0.42,-1.7,0.86,2087,1.0
mu_beta_Income[5],-0.39,-1.68,0.85,1962,1.0
mu_beta_Income[6],-0.31,-1.56,1.01,2065,1.0
mu_beta,5.99,4.84,7.22,4091,1.0
beta[1],9.5,8.51,10.49,2609,1.0
beta[2],8.48,7.9,9.08,2702,1.0
mu_delta[1],1.79,0.39,4.25,4358,1.0
mu_delta[2],1.55,0.33,3.62,4299,1.0
mu_delta[3],1.32,0.25,3.17,4405,1.0
"delta[1,1]",0.44,0.39,0.49,3311,1.0
"delta[2,1]",0.39,0.36,0.43,3612,1.0
"delta[1,2]",0.35,0.29,0.42,5816,1.0
"delta[2,2]",0.31,0.27,0.35,4964,1.0
"delta[1,3]",0.21,0.13,0.29,3058,1.0
"delta[2,3]",0.3,0.25,0.35,3214,1.0
mu_alpha[1],-1.57,-2.99,-0.19,2030,1.0
mu_alpha[2],0.79,-0.6,2.25,2035,1.0
mu_alpha[3],2.3,0.88,3.72,2783,1.0
"alpha[1,1]",-2.51,-3.99,-1.07,1457,1.0
"alpha[2,1]",-2.19,-3.63,-0.74,1371,1.0
"alpha[1,2]",1.41,-0.07,2.85,1564,1.0
"alpha[2,2]",0.94,-0.49,2.37,1372,1.0
"alpha[1,3]",3.73,2.22,5.17,1884,1.0
"alpha[2,3]",3.21,1.76,4.65,1417,1.0
