,Mean,2.5%,97.5%,ESS,Rhat
"beta_Ethnicity[1,4]",-1.08,-2.54,0.41,1331,1.0
"beta_Ethnicity[2,4]",-0.44,-1.78,0.9,1077,1.0
mu_beta_Ethnicity[1],-0.41,-1.79,1.03,2023,1.0
mu_beta_Ethnicity[2],-0.19,-1.57,1.15,1955,1.0
mu_beta_Ethnicity[3],-0.36,-1.72,0.98,1826,1.0
mu_beta_Ethnicity[4],-0.5,-1.92,0.83,2048,1.0
"beta_Income[1,1]",-0.36,-1.51,0.81,856,1.01
"beta_Income[2,1]",-0.19,-1.28,0.88,755,1.0
"beta_Income[1,2]",-0.73,-1.86,0.45,845,1.01
"beta_Income[2,2]",-0.24,-1.31,0.85,774,1.01
"beta_Income[1,3]",-0.41,-1.56,0.72,874,1.01
"beta_Income[2,3]",-0.39,-1.5,0.69,753,1.0
"beta_Income[1,4]",-0.36,-1.48,0.79,822,1.01
"beta_Income[2,4]",-0.41,-1.51,0.65,745,1.0
"beta_Income[1,5]",-0.48,-1.66,0.68,871,1.0
"beta_Income[2,5]",-0.31,-1.41,0.79,756,1.0
"beta_Income[1,6]",-0.48,-1.68,0.74,907,1.01
"beta_Income[2,6]",-0.31,-1.42,0.78,780,1.0
mu_beta_Income[1],-0.18,-1.46,1.08,1890,1.0
mu_beta_Income[2],-0.32,-1.62,0.96,1886,1.0
mu_beta_Income[3],-0.27,-1.58,1.05,1761,1.0
mu_beta_Income[4],-0.25,-1.57,1.07,1884,1.0
mu_beta_Income[5],-0.27,-1.56,1.02,1790,1.0
mu_beta_Income[6],-0.26,-1.6,1.05,2268,1.0
mu_beta,5.86,4.68,6.99,3562,1.0
beta[1],9.32,8.44,10.23,2042,1.0
beta[2],8.3,7.79,8.84,2539,1.0
mu_delta[1],1.77,0.39,4.28,4282,1.0
mu_delta[2],1.53,0.33,3.52,4368,1.0
mu_delta[3],1.4,0.27,3.38,4364,1.0
"delta[1,1]",0.43,0.39,0.48,2645,1.0
