,Mean,2.5%,97.5%,ESS,Rhat
beta[1],-0.27,-1.14,0.58,753,1.0
beta[2],-0.15,-1.04,0.69,749,1.0
beta[3],-0.2,-1.12,0.67,821,1.0
beta[4],0.19,-0.71,1.08,806,1.0
alpha[1],0.54,-0.35,1.39,747,1.0
