,Mean,2.5%,97.5%,ESS,Rhat
mu[1],0.16,-0.99,1.28,6659,1.0
mu[2],0.84,-0.29,1.98,7397,1.0
mu[3],1.29,0.11,2.45,7464,1.0
"alpha[1,1]",0.28,0.15,0.41,6664,1.0
"alpha[2,1]",0.19,0.07,0.31,5316,1.0
"alpha[1,2]",1.33,1.17,1.48,7362,1.0
"alpha[2,2]",1.17,1.03,1.31,8694,1.0
"alpha[1,3]",1.97,1.79,2.17,7467,1.0
"alpha[2,3]",1.91,1.74,2.09,8709,1.0
