,mean,2.5%,97.5%
"Unsure, lean yes",-0.11893331053594547,-0.1623638417971169,-0.07541148231453662
"Unsure, lean no",-0.12363479834911578,-0.17826943979404694,-0.06859850830320523
"No, definitely not",-0.153096902598737,-0.20597404942021796,-0.10059957902763905
