,Mean,2.5%,97.5%,ESS,Rhat
mu[1],-0.27,-1.41,0.83,7639,1.0
mu[2],0.57,-0.57,1.68,6861,1.0
mu[3],1.09,-0.02,2.24,7285,1.0
"alpha[1,1]",-0.34,-0.42,-0.27,5846,1.0
"alpha[2,1]",-0.46,-0.54,-0.39,5721,1.0
"alpha[1,2]",0.96,0.88,1.04,9908,1.0
"alpha[2,2]",0.76,0.68,0.83,7954,1.0
"alpha[1,3]",1.72,1.62,1.82,9321,1.0
"alpha[2,3]",1.55,1.46,1.64,8318,1.0
