,Mean,2.5%,97.5%,ESS,Rhat
mu[1],0.37,-0.75,1.48,7942,1.0
mu[2],1.37,0.24,2.48,9112,1.0
mu[3],2.1,0.97,3.24,8475,1.0
"alpha[1,1]",0.6,0.48,0.73,7335,1.0
"alpha[2,1]",0.49,0.37,0.62,7910,1.0
"alpha[1,2]",2.13,1.93,2.33,10005,1.0
"alpha[2,2]",1.99,1.81,2.19,8422,1.0
"alpha[1,3]",3.33,3.0,3.67,8510,1.0
"alpha[2,3]",2.98,2.72,3.27,8291,1.0
