,Mean,2.5%,97.5%,ESS,Rhat
beta[1],0.24,-0.66,1.13,739,1.0
beta[2],-0.15,-1.09,0.74,741,1.0
beta[3],-0.33,-1.31,0.64,787,1.0
beta[4],-0.54,-1.61,0.51,953,1.0
alpha[1],0.71,-0.18,1.58,726,1.0
