,Mean,2.5%,97.5%,ESS,Rhat
mu[1],-0.05,-1.17,1.08,7618,1.0
mu[2],0.74,-0.42,1.89,7631,1.0
mu[3],1.24,0.11,2.36,7396,1.0
"alpha[1,1]",0.08,0.01,0.15,7639,1.0
"alpha[2,1]",-0.21,-0.29,-0.14,6311,1.0
"alpha[1,2]",1.24,1.16,1.33,8780,1.0
"alpha[2,2]",0.94,0.86,1.02,8645,1.0
"alpha[1,3]",2.0,1.89,2.11,9573,1.0
"alpha[2,3]",1.71,1.61,1.81,8095,1.0
