,,,,mean,2.5%,97.5%
Post-exposure,Treatment,Seen-Not seen,"Unsure, lean yes",-0.09855342448341001,-0.1210835087296549,-0.07679456645404677
Post-exposure,Treatment,Seen-Not seen,"Unsure, lean no",-0.06265051369404534,-0.07736008641628307,-0.049057125129466445
Post-exposure,Treatment,Seen-Not seen,"No, definitely not",-0.01454208472684772,-0.01904818157307674,-0.010747277389161916
Post-exposure,Treatment-Control,Not seen,"Yes, definitely",-0.10747999843032198,-0.1698533738637811,-0.04421267395283176
Post-exposure,Treatment-Control,Not seen,"Unsure, lean yes",0.06650408123626236,0.012897268054685522,0.119282890783873
Post-exposure,Treatment-Control,Not seen,"Unsure, lean no",0.03354955171795234,-0.0019772956674639626,0.06481528946901512
Post-exposure,Treatment-Control,Not seen,"No, definitely not",0.007426365476107501,-0.0027982506118425015,0.016236115736227193
Post-exposure,Treatment-Control,Seen,"Yes, definitely",-0.11963389187280339,-0.1721865009234506,-0.06795148705349839
Post-exposure,Treatment-Control,Seen,"Unsure, lean yes",0.09670639338630395,0.05252204907401896,0.14054391032762553
Post-exposure,Treatment-Control,Seen,"Unsure, lean no",0.019466344882104674,0.0009295353063213249,0.036893950129198376
Post-exposure,Treatment-Control,Seen,"No, definitely not",0.0034611536043950442,-0.0014040147512229982,0.007769194799612229
Post-exposure,Treatment-Control,Seen-Not seen,"Yes, definitely",-0.012153893442481202,-0.08204904285338288,0.057637448143496
Post-exposure,Treatment-Control,Seen-Not seen,"Unsure, lean yes",0.030202312150041384,-0.015296680407081941,0.07669276541536223
Post-exposure,Treatment-Control,Seen-Not seen,"Unsure, lean no",-0.014083206835847633,-0.03981438801762982,0.015180858398816485
Post-exposure,Treatment-Control,Seen-Not seen,"No, definitely not",-0.003965211871712472,-0.010544919465297672,0.003794902619669693
