,Mean,2.5%,97.5%,ESS,Rhat
beta[1],0.67,-0.2,1.58,581,1.0
beta[2],0.28,-0.57,1.18,562,1.0
beta[3],-0.73,-1.66,0.19,671,1.0
beta[4],-0.4,-1.27,0.52,630,1.0
alpha[1],0.13,-0.7,1.02,541,1.0
